Subject,Stimulus,Response,Confidence,Correct,Contrast,Side,RT_Decision,RT_Confidence
1,2,2,4,1,1,2,1.2307865999901,0.338911034996272
1,2,2,4,1,2,1,0.944735716009745,0.288997868992737
1,2,2,4,1,2,2,1.16079850499227,0.264789132997976
1,2,2,4,1,2,1,0.704440233996138,0.266981057997327
1,1,1,4,1,1,1,1.05038063699612,0.38306411600206
1,2,2,3,1,1,1,1.19408791000023,0.280869902999257
1,1,1,3,1,2,2,2.1736261479964,0.716538585009403
1,2,2,3,1,1,1,0.817756017000647,0.45485596099752
1,2,2,4,1,1,2,1.08759371499764,0.482111617006012
1,1,1,4,1,1,1,0.897409098004573,0.259590172994649
1,1,1,4,1,2,2,1.45217904400488,0.184017899999162
1,2,2,3,1,1,1,0.738906199010671,0.220348394999746
1,2,2,2,1,2,1,0.790200234987424,0.397261076999712
1,2,2,1,1,1,1,0.63233968699933,0.165013621008256
1,2,2,3,1,2,1,0.697592334996443,0.284078098993632
1,1,1,1,1,1,2,0.795048664993374,0.322227277996717
1,1,2,1,0,2,1,0.85612809000304,0.316537405000417
1,2,2,1,1,1,2,1.21028726999066,0.463334225001745
1,1,2,1,0,1,1,0.912428802010254,0.25875552999787
1,1,1,1,1,2,2,1.54695206299948,0.515253683013725
1,2,2,1,1,1,1,0.761004529005731,0.385092762007844
1,1,1,1,1,1,2,0.803958375996444,0.194326411001384
1,1,1,2,1,2,2,1.18171841801086,0.13267706699844
1,2,2,1,1,1,2,1.09764350700425,0.292196417998639
1,1,1,1,1,1,2,0.818999679002445,0.224831382991397
1,1,1,1,1,1,2,1.28273377299774,0.149169328986318
1,2,2,2,1,1,2,0.882220897998195,0.220861484995112
1,1,1,1,1,2,2,1.31896219600458,0.17529604700394
1,1,2,2,0,2,1,1.21199526499549,0.234007317994838
1,2,2,3,1,2,1,0.683032331988215,0.214514363993658
1,2,2,2,1,1,1,0.616705384003581,0.334386210000957
1,1,1,1,1,1,2,0.884184888011077,0.190545997000299
1,2,2,2,1,1,2,0.92188424798951,0.251664297000389
1,1,1,1,1,1,1,1.15639616199769,0.17220479399839
1,2,2,2,1,1,1,0.880516774996067,0.307342779997271
1,2,2,1,1,1,1,0.88118156499695,0.156404270994244
1,1,2,1,0,1,2,0.953125159998308,0.273292350990232
1,2,2,3,1,2,2,0.729349180997815,0.354515908009489
1,1,1,1,1,1,1,1.7594776909973,0.166883551995852
1,2,2,3,1,2,2,0.922799680993194,1.64452068399987
1,2,2,4,1,2,2,0.836146625006222,0.161402052006451
1,1,1,1,1,2,2,0.733705769001972,0.255279035001877
1,1,1,1,1,1,1,1.19964308899944,0.500871677999385
1,1,1,1,1,2,1,1.00328470299428,0.193877866011462
1,2,2,1,1,1,1,1.42059670800518,0.258167503998266
1,1,1,2,1,2,2,1.02608089699061,0.175995937010157
1,1,1,2,1,2,1,1.14820622799743,0.211614428000757
1,1,2,3,0,1,1,0.998510793011519,0.341005123002105
1,2,2,3,1,2,1,0.857991267999751,0.229972102009924
1,2,2,3,1,2,2,1.77589321898995,0.262672151991865
1,2,2,2,1,1,2,1.02283608999278,0.204679497008328
1,2,2,1,1,2,1,1.15914123300172,0.191470047997427
1,2,2,2,1,2,1,0.778709988997434,0.30677773199568
1,2,1,1,0,1,1,0.865032457993948,0.172484375987551
1,2,1,1,0,1,2,1.3120330600068,0.185896323004272
1,1,2,2,0,2,1,1.72540129900153,0.326335398000083
1,1,2,1,0,1,1,0.961690834999899,0.162037096990389
1,1,1,1,1,1,1,0.926376880990574,0.160215658004745
1,1,2,1,0,2,1,0.716507641001954,0.175001098003122
1,2,1,1,0,1,2,0.794180013006553,0.201503535005031
1,1,1,1,1,2,2,1.6602094139962,0.135514740992221
