Subject,Stimulus,Response,Confidence,Correct,Contrast,Hand,RT_Decision,RT_Confidence
1,2,2,4,1,1,1,0.694267118000425,0.361418788001174
1,1,1,3,1,2,1,1.02905818000727,0.482187335001072
1,2,1,1,0,1,1,1.3615334549977,0.313097001999267
1,1,1,2,1,1,1,1.47907082100573,0.665767353013507
1,1,1,1,1,1,2,1.85178553199512,2.80355613899883
1,1,1,3,1,1,2,1.62050192100287,2.26751189600327
1,2,1,2,0,1,2,0.921042127010878,2.20959296599904
1,2,2,4,1,2,1,1.07153191498946,0.642577881008037
1,1,1,4,1,2,1,1.09989490399312,0.88591111000278
1,2,2,4,1,2,1,1.18836880500021,0.650828648998868
1,2,1,2,0,1,2,1.69231181099894,2.22729310499562
1,1,2,3,0,1,1,1.60898161999648,0.374350471000071
1,1,1,1,1,2,2,1.16480772101204,1.82949557600659
1,2,2,3,1,2,2,1.06204781100678,1.55748667700391
1,1,2,2,0,1,2,0.904280196002219,1.36770483999862
1,1,2,3,0,2,2,0.681991257006302,1.13794093600882
1,1,1,1,1,2,2,1.11836953900638,1.98320120600692
1,1,1,1,1,2,1,1.59829147999699,0.395566570994561
1,2,2,4,1,2,1,0.910594949993538,0.352475218998734
1,2,2,3,1,2,2,1.40877521400398,1.86342913699627
1,1,1,1,1,1,2,1.25510613399092,2.0624715009908
1,2,1,1,0,1,1,0.890726383993751,0.341188468999462
1,2,2,4,1,1,2,1.07029255399539,1.56488190000528
1,2,2,4,1,2,2,0.681389149001916,1.15285463100008
1,2,2,4,1,1,2,0.692260345997056,1.27609168899653
1,2,2,1,1,2,2,2.25833106999926,3.05061123499763
1,2,2,4,1,2,2,0.704661102005048,1.24876975800726
1,1,1,1,1,1,1,0.957821812990005,1.1498664469982
1,2,2,4,1,2,1,0.769737780996365,0.393176445999416
1,1,1,2,1,1,2,1.2953461559955,2.53594972900464
1,1,2,2,0,1,1,1.49545989999024,0.889361068009748
1,1,2,3,0,1,2,1.40230926100048,2.7311010370031
1,2,2,4,1,2,1,0.794573412000318,0.226465918007307
1,2,2,4,1,2,1,1.20383479900192,0.217785360000562
1,1,1,1,1,2,1,2.06789349099563,0.486498382000718
1,1,1,1,1,1,2,1.08721101400442,1.93549066700507
1,2,2,2,1,2,1,1.0482429840049,0.372046482996666
1,2,2,3,1,2,1,0.712496975000249,0.33821423300833
1,1,2,1,0,2,1,1.2467989680008,0.891496784010087
1,1,1,1,1,2,2,2.32431435699982,2.89223211100034
1,2,2,3,1,2,1,0.789477045007516,0.445168269012356
1,2,2,3,1,1,1,1.04571393301012,0.290210669991211
1,2,2,3,1,1,2,1.15639267700317,1.60311824901146
1,1,2,2,0,1,2,0.917158684009337,1.34829825301131
1,2,2,4,1,1,2,0.761557106001419,1.63241889500932
1,1,2,4,0,2,2,0.690205266000703,1.1690399700019
1,1,1,1,1,2,1,1.08071502299572,0.372012185005588
1,2,2,3,1,2,1,0.711468647001311,0.36183603599784
1,2,2,3,1,1,2,1.81731626599503,2.51179104299808
1,1,1,2,1,1,2,1.73197172900836,2.24574250500882
1,2,2,3,1,2,1,0.912439333988004,0.330142935999902
1,2,2,4,1,2,1,0.69592302798992,0.330958438993548
1,1,1,2,1,1,2,1.47580071800621,1.9785664610099
1,2,2,3,1,1,1,0.714081605998217,0.323991874000058
1,1,2,4,0,2,1,0.642066265005269,0.335471898986725
1,1,1,1,1,2,2,1.51152595700114,2.15037556699826
1,2,2,3,1,2,2,0.72336036300112,1.27434858100605
1,2,2,4,1,1,2,1.11234627199883,2.01754684900516
1,1,1,2,1,2,1,0.974719197998638,0.398595291000674
1,2,2,2,1,2,1,0.776688120997278,0.472150665998925
1,2,2,3,1,2,1,0.749275096997735,0.325823085993761
1,2,2,3,1,1,2,0.791187711001839,1.55953454499831
1,2,2,4,1,2,1,0.678909765993012,0.473826173009002
1,2,2,2,1,1,2,1.16469537600642,1.84492164000403
1,2,2,4,1,2,1,1.11330950600677,0.658054767001886
1,2,1,2,0,2,2,1.10213427900453,2.12637655300205
1,1,2,2,0,1,2,1.09729873501055,1.59290004400827
1,1,1,3,1,1,2,1.48199481700431,1.92218073000549
1,1,2,4,0,1,2,0.814093063003384,1.54244663700229
1,1,1,2,1,1,1,1.04766855599883,0.652107032001368
1,1,2,3,0,1,1,0.971918899987941,0.579118472000118
1,2,2,4,1,2,2,1.10619430099905,1.58682123199105
1,2,2,4,1,2,1,0.944445226996322,0.313814655994065
1,2,2,4,1,2,2,0.906724994987599,1.46628824199433
1,2,2,4,1,2,1,0.798792923000292,0.285643172988785
1,2,2,2,1,2,2,1.03065254099783,2.49501418600266
1,1,2,2,0,1,1,0.77767635199416,0.497271699001431
1,2,2,3,1,2,2,0.786730252992129,1.19600880300277
1,2,2,3,1,1,1,0.658633277009358,0.38263916199503
1,2,2,3,1,2,2,0.717424852002296,1.16484921700612
1,2,2,4,1,2,1,0.709133441996528,0.304151564996573
1,2,2,4,1,2,2,0.776250953000272,1.28026725599193
1,1,2,2,0,1,2,1.40837226201256,2.12840117800806
1,2,2,4,1,2,1,0.704429457997321,0.290896577003878
1,1,2,3,0,1,1,0.914021882999805,1.26763604600274
1,2,2,4,1,2,1,0.795079126997734,0.329343517994857
1,2,2,4,1,2,2,0.986892924003769,1.52183462200628
1,2,2,4,1,2,2,0.782526020004298,1.71833412100386
1,2,2,2,1,2,2,0.946461093000835,1.50575385299453
